# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1.000000000000000056e-01,-2.290789063564030170e-01,-9.912757104423902677e-01,-5.718696428247904695e-01,1.971998848528909498e+00,-2.104569687718685689e+00,7.114202903098940656e-01,9.867623065222587142e-01,-2.278000000000000025e-01,-2.591999999999999860e-01,1.411999999999999922e+00,1.846100000000000074e+00,1.028000000000000025e-01,-1.043000000000000038e-01,3.271000000000000019e-01
1.100000000000000006e-01,-2.289302635549948506e-01,-9.924716860466227253e-01,-5.717922948093355773e-01,1.971742255990690973e+00,-2.104784301564176729e+00,7.117852337407376551e-01,9.880344036161605725e-01,-2.278000000000000025e-01,-2.619000000000000217e-01,1.411599999999999966e+00,1.845800000000000107e+00,1.015999999999999959e-01,-9.929999999999999938e-02,3.282999999999999807e-01
1.202000000000000013e-01,-2.290978960984293711e-01,-9.923828025172777290e-01,-5.719428123330709823e-01,1.971687456531705740e+00,-2.103003024472717364e+00,7.121460707609088558e-01,9.882561830702518701e-01,-2.281999999999999862e-01,-2.631000000000000005e-01,1.410500000000000087e+00,1.844999999999999973e+00,9.969999999999999696e-02,-9.470000000000000639e-02,3.286999999999999922e-01
1.300000000000000044e-01,-2.288406098359821450e-01,-9.917955048306011934e-01,-5.716640462871717121e-01,1.970374421292557576e+00,-2.099856072653478734e+00,7.121222096734012297e-01,9.876192971148094468e-01,-2.281999999999999862e-01,-2.665000000000000147e-01,1.410099999999999909e+00,1.844200000000000061e+00,1.005000000000000060e-01,-9.089999999999999469e-02,3.286999999999999922e-01
1.400000000000000133e-01,-2.289143644187306981e-01,-9.917983096693886447e-01,-5.713052708720722794e-01,1.970837557437439491e+00,-2.100473787219297783e+00,7.127188116908629301e-01,9.893696804842437853e-01,-2.281999999999999862e-01,-2.691999999999999948e-01,1.409299999999999997e+00,1.842700000000000005e+00,1.000999999999999945e-01,-8.740000000000000546e-02,3.290000000000000147e-01
1.499999999999999944e-01,-2.288342769543324773e-01,-9.915546586974899324e-01,-5.713458528479909981e-01,1.969540585453207537e+00,-2.098484930937609239e+00,7.123557729020988383e-01,9.882087935765996312e-01,-2.281999999999999862e-01,-2.730000000000000204e-01,1.406700000000000061e+00,1.840799999999999992e+00,9.969999999999999696e-02,-8.169999999999999485e-02,3.294000000000000261e-01
1.600000000000000033e-01,-2.290158344970021076e-01,-9.905669945021450262e-01,-5.707215499044505647e-01,1.969234269064851661e+00,-2.097953070278371523e+00,7.123519301959427841e-01,9.890716043256015944e-01,-2.288999999999999924e-01,-2.752999999999999892e-01,1.406700000000000061e+00,1.838899999999999979e+00,1.000999999999999945e-01,-7.710000000000000187e-02,3.294000000000000261e-01
1.700000000000000122e-01,-2.284453768371265681e-01,-9.915342497797350330e-01,-5.711272594694074556e-01,1.967896571012473395e+00,-2.094693605209484222e+00,7.118214267274718399e-01,9.869717963409038175e-01,-2.288999999999999924e-01,-2.796000000000000152e-01,1.406300000000000106e+00,1.838100000000000067e+00,9.890000000000000180e-02,-7.209999999999999742e-02,3.286999999999999922e-01
1.799999999999999933e-01,-2.278591425261749515e-01,-9.916340399360958902e-01,-5.714841025673159658e-01,1.968157572874925876e+00,-2.090338766624935118e+00,7.120050966008172333e-01,9.853056668341504398e-01,-2.285999999999999976e-01,-2.833999999999999853e-01,1.405499999999999972e+00,1.836899999999999977e+00,9.890000000000000180e-02,-6.600000000000000311e-02,3.286999999999999922e-01
1.900000000000000022e-01,-2.278568628076164670e-01,-9.919000872143438619e-01,-5.724955555846812372e-01,1.967253996970449670e+00,-2.088478334562696492e+00,7.125389231518985955e-01,9.834814163630793971e-01,-2.288999999999999924e-01,-2.852999999999999980e-01,1.404700000000000060e+00,1.835399999999999920e+00,9.740000000000000047e-02,-6.099999999999999867e-02,3.290000000000000147e-01
