# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1.600000000000000033e-01,-3.315768028508224718e-01,-1.032330061974395585e+00,-4.325805206200877828e-01,1.980057978250183703e+00,-2.100234285196751038e+00,7.761939340563263068e-01,9.347851647017609844e-01,-2.288999999999999924e-01,-2.752999999999999892e-01,1.406700000000000061e+00,1.838899999999999979e+00,1.000999999999999945e-01,-7.710000000000000187e-02,3.294000000000000261e-01
1.700000000000000122e-01,-3.578466437611734219e-01,-1.041838710305159621e+00,-3.972709090116651187e-01,1.981135060728612229e+00,-2.097917503801759231e+00,7.911829086124554378e-01,9.204004653008605041e-01,-2.288999999999999924e-01,-2.796000000000000152e-01,1.406300000000000106e+00,1.838100000000000067e+00,9.890000000000000180e-02,-7.209999999999999742e-02,3.286999999999999922e-01
1.799999999999999933e-01,-3.614973076795661711e-01,-1.043251137265665651e+00,-3.920278585120267612e-01,1.981776993433107537e+00,-2.094066052534783395e+00,7.939622776910673085e-01,9.173176179428164101e-01,-2.285999999999999976e-01,-2.833999999999999853e-01,1.405499999999999972e+00,1.836899999999999977e+00,9.890000000000000180e-02,-6.600000000000000311e-02,3.286999999999999922e-01
1.900000000000000022e-01,-3.926023865244495092e-01,-1.052329684609579541e+00,-3.518591273169068279e-01,1.983436755537726581e+00,-2.093434259217899829e+00,8.119798162685069043e-01,9.019505158242283605e-01,-2.288999999999999924e-01,-2.852999999999999980e-01,1.404700000000000060e+00,1.835399999999999920e+00,9.740000000000000047e-02,-6.099999999999999867e-02,3.290000000000000147e-01
2.001000000000000001e-01,-3.799623187134017477e-01,-1.048677772701669397e+00,-3.679172222027054517e-01,1.981227566323852773e+00,-2.089559864183785809e+00,8.049793967413356732e-01,9.046920360102981284e-01,-2.285999999999999976e-01,-2.888000000000000012e-01,1.403999999999999915e+00,1.834300000000000042e+00,9.660000000000000531e-02,-5.290000000000000258e-02,3.290000000000000147e-01
2.099999999999999922e-01,-3.777493685592219763e-01,-1.047833176098782682e+00,-3.701058143669686551e-01,1.979303558929250251e+00,-2.084264420799838202e+00,8.044903786365031895e-01,9.018801520379337022e-01,-2.288999999999999924e-01,-2.914999999999999813e-01,1.403599999999999959e+00,1.832300000000000040e+00,9.589999999999999913e-02,-4.680000000000000132e-02,3.290000000000000147e-01
2.200000000000000011e-01,-3.699354221260240383e-01,-1.045175086211895366e+00,-3.800523504262098284e-01,1.977764369821294554e+00,-2.075885916031687817e+00,8.021386434974074886e-01,8.990821794509334941e-01,-2.285999999999999976e-01,-2.940999999999999726e-01,1.403200000000000003e+00,1.830799999999999983e+00,9.550000000000000155e-02,-4.070000000000000007e-02,3.290000000000000147e-01
2.300000000000000100e-01,-3.335611017236385645e-01,-1.032922535111026718e+00,-4.262898290659563605e-01,1.972474305634977831e+00,-2.065205762547047019e+00,7.827900001683995024e-01,9.072271249108179170e-01,-2.285999999999999976e-01,-2.979999999999999871e-01,1.402800000000000047e+00,1.828899999999999970e+00,9.550000000000000155e-02,-3.339999999999999913e-02,3.290000000000000147e-01
2.399999999999999911e-01,-3.712672530928749492e-01,-1.045576931782700392e+00,-3.767692922352663398e-01,1.975597952802800927e+00,-2.059554284187810946e+00,8.066132450250287356e-01,8.866898074748107428e-01,-2.288999999999999924e-01,-3.009999999999999898e-01,1.402800000000000047e+00,1.826999999999999957e+00,9.400000000000000022e-02,-2.649999999999999925e-02,3.290000000000000147e-01
2.500000000000000000e-01,-3.729131600986245187e-01,-1.046342553579592716e+00,-3.724098990685884569e-01,1.974407040599816643e+00,-2.051617056408895134e+00,8.094357071163201800e-01,8.820095699491441454e-01,-2.285999999999999976e-01,-3.044999999999999929e-01,1.401699999999999946e+00,1.825099999999999945e+00,9.429999999999999494e-02,-1.919999999999999832e-02,3.294000000000000261e-01
