# time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
1.000000000000000056e-01,2.285999999999999976e-01,-2.530999999999999917e-01,-1.410099999999999909e+00,1.855299999999999949e+00,-1.126999999999999946e-01,-1.285000000000000031e-01,-3.282999999999999807e-01,-2.278000000000000025e-01,-2.591999999999999860e-01,1.411999999999999922e+00,1.846100000000000074e+00,1.028000000000000025e-01,-1.043000000000000038e-01,3.271000000000000019e-01
1.100000000000000006e-01,2.288999999999999924e-01,-2.539000000000000146e-01,-1.410900000000000043e+00,1.854999999999999982e+00,-1.111999999999999933e-01,-1.285000000000000031e-01,-3.282999999999999807e-01,-2.278000000000000025e-01,-2.619000000000000217e-01,1.411599999999999966e+00,1.845800000000000107e+00,1.015999999999999959e-01,-9.929999999999999938e-02,3.282999999999999807e-01
1.202000000000000013e-01,2.285999999999999976e-01,-2.539000000000000146e-01,-1.410900000000000043e+00,1.854999999999999982e+00,-1.101000000000000034e-01,-1.272999999999999965e-01,-3.279000000000000248e-01,-2.281999999999999862e-01,-2.631000000000000005e-01,1.410500000000000087e+00,1.844999999999999973e+00,9.969999999999999696e-02,-9.470000000000000639e-02,3.286999999999999922e-01
1.300000000000000044e-01,2.285999999999999976e-01,-2.543000000000000260e-01,-1.410500000000000087e+00,1.853799999999999892e+00,-1.081000000000000016e-01,-1.250000000000000000e-01,-3.282999999999999807e-01,-2.281999999999999862e-01,-2.665000000000000147e-01,1.410099999999999909e+00,1.844200000000000061e+00,1.005000000000000060e-01,-9.089999999999999469e-02,3.286999999999999922e-01
1.400000000000000133e-01,2.288999999999999924e-01,-2.539000000000000146e-01,-1.410500000000000087e+00,1.854200000000000070e+00,-1.066000000000000003e-01,-1.254000000000000115e-01,-3.282999999999999807e-01,-2.281999999999999862e-01,-2.691999999999999948e-01,1.409299999999999997e+00,1.842700000000000005e+00,1.000999999999999945e-01,-8.740000000000000546e-02,3.290000000000000147e-01
1.499999999999999944e-01,2.285999999999999976e-01,-2.543000000000000260e-01,-1.410500000000000087e+00,1.852999999999999980e+00,-1.066000000000000003e-01,-1.238999999999999962e-01,-3.279000000000000248e-01,-2.281999999999999862e-01,-2.730000000000000204e-01,1.406700000000000061e+00,1.840799999999999992e+00,9.969999999999999696e-02,-8.169999999999999485e-02,3.294000000000000261e-01
1.600000000000000033e-01,2.285999999999999976e-01,-2.539000000000000146e-01,-1.409699999999999953e+00,1.852700000000000014e+00,-1.054999999999999966e-01,-1.234999999999999987e-01,-3.279000000000000248e-01,-2.288999999999999924e-01,-2.752999999999999892e-01,1.406700000000000061e+00,1.838899999999999979e+00,1.000999999999999945e-01,-7.710000000000000187e-02,3.294000000000000261e-01
1.700000000000000122e-01,2.285999999999999976e-01,-2.558000000000000274e-01,-1.410099999999999909e+00,1.851499999999999924e+00,-1.050999999999999990e-01,-1.212000000000000022e-01,-3.282999999999999807e-01,-2.288999999999999924e-01,-2.796000000000000152e-01,1.406300000000000106e+00,1.838100000000000067e+00,9.890000000000000180e-02,-7.209999999999999742e-02,3.286999999999999922e-01
1.799999999999999933e-01,2.288999999999999924e-01,-2.565999999999999948e-01,-1.409699999999999953e+00,1.851900000000000102e+00,-1.047000000000000014e-01,-1.184999999999999942e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.833999999999999853e-01,1.405499999999999972e+00,1.836899999999999977e+00,9.890000000000000180e-02,-6.600000000000000311e-02,3.286999999999999922e-01
1.900000000000000022e-01,2.281999999999999862e-01,-2.561999999999999833e-01,-1.410900000000000043e+00,1.851099999999999968e+00,-1.039000000000000062e-01,-1.170000000000000068e-01,-3.282999999999999807e-01,-2.288999999999999924e-01,-2.852999999999999980e-01,1.404700000000000060e+00,1.835399999999999920e+00,9.740000000000000047e-02,-6.099999999999999867e-02,3.290000000000000147e-01
2.001000000000000001e-01,2.281999999999999862e-01,-2.569000000000000172e-01,-1.410500000000000087e+00,1.850000000000000089e+00,-1.047000000000000014e-01,-1.142999999999999988e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.888000000000000012e-01,1.403999999999999915e+00,1.834300000000000042e+00,9.660000000000000531e-02,-5.290000000000000258e-02,3.290000000000000147e-01
2.099999999999999922e-01,2.281999999999999862e-01,-2.572999999999999732e-01,-1.410500000000000087e+00,1.848400000000000043e+00,-1.047000000000000014e-01,-1.101000000000000034e-01,-3.275000000000000133e-01,-2.288999999999999924e-01,-2.914999999999999813e-01,1.403599999999999959e+00,1.832300000000000040e+00,9.589999999999999913e-02,-4.680000000000000132e-02,3.290000000000000147e-01
2.200000000000000011e-01,2.281999999999999862e-01,-2.569000000000000172e-01,-1.410500000000000087e+00,1.847699999999999898e+00,-1.043000000000000038e-01,-1.039000000000000062e-01,-3.279000000000000248e-01,-2.285999999999999976e-01,-2.940999999999999726e-01,1.403200000000000003e+00,1.830799999999999983e+00,9.550000000000000155e-02,-4.070000000000000007e-02,3.290000000000000147e-01
2.300000000000000100e-01,2.288999999999999924e-01,-2.569000000000000172e-01,-1.409699999999999953e+00,1.845800000000000107e+00,-1.043000000000000038e-01,-9.700000000000000289e-02,-3.286999999999999922e-01,-2.285999999999999976e-01,-2.979999999999999871e-01,1.402800000000000047e+00,1.828899999999999970e+00,9.550000000000000155e-02,-3.339999999999999913e-02,3.290000000000000147e-01
2.399999999999999911e-01,2.285999999999999976e-01,-2.576999999999999846e-01,-1.410500000000000087e+00,1.845800000000000107e+00,-1.034999999999999948e-01,-9.130000000000000615e-02,-3.282999999999999807e-01,-2.288999999999999924e-01,-3.009999999999999898e-01,1.402800000000000047e+00,1.826999999999999957e+00,9.400000000000000022e-02,-2.649999999999999925e-02,3.290000000000000147e-01
2.500000000000000000e-01,2.296999999999999875e-01,-2.589000000000000190e-01,-1.410099999999999909e+00,1.844600000000000017e+00,-1.024000000000000049e-01,-8.509999999999999509e-02,-3.275000000000000133e-01,-2.285999999999999976e-01,-3.044999999999999929e-01,1.401699999999999946e+00,1.825099999999999945e+00,9.429999999999999494e-02,-1.919999999999999832e-02,3.294000000000000261e-01
2.600000000000000089e-01,2.288999999999999924e-01,-2.607999999999999763e-01,-1.410099999999999909e+00,1.843800000000000106e+00,-1.032000000000000001e-01,-7.939999999999999836e-02,-3.279000000000000248e-01,-2.281999999999999862e-01,-3.075999999999999845e-01,1.402099999999999902e+00,1.823499999999999899e+00,9.400000000000000022e-02,-1.110000000000000049e-02,3.282999999999999807e-01
2.700000000000000178e-01,2.293000000000000038e-01,-2.619000000000000217e-01,-1.409000000000000030e+00,1.842300000000000049e+00,-1.019999999999999934e-01,-7.169999999999999984e-02,-3.275000000000000133e-01,-2.293000000000000038e-01,-3.101999999999999758e-01,1.400500000000000078e+00,1.820100000000000051e+00,9.360000000000000264e-02,-4.199999999999999740e-03,3.286999999999999922e-01
2.800000000000000266e-01,2.296999999999999875e-01,-2.650000000000000133e-01,-1.408199999999999896e+00,1.841900000000000093e+00,-9.890000000000000180e-02,-6.400000000000000133e-02,-3.282999999999999807e-01,-2.285999999999999976e-01,-3.136999999999999789e-01,1.401699999999999946e+00,1.818500000000000005e+00,9.429999999999999494e-02,3.500000000000000073e-03,3.282999999999999807e-01
2.899999999999999800e-01,2.296999999999999875e-01,-2.676999999999999935e-01,-1.407000000000000028e+00,1.840400000000000036e+00,-9.859999999999999321e-02,-5.600000000000000117e-02,-3.271000000000000019e-01,-2.288999999999999924e-01,-3.164000000000000146e-01,1.400900000000000034e+00,1.815800000000000081e+00,9.400000000000000022e-02,1.110000000000000049e-02,3.290000000000000147e-01
2.999999999999999889e-01,2.296999999999999875e-01,-2.715000000000000191e-01,-1.406700000000000061e+00,1.840000000000000080e+00,-9.629999999999999671e-02,-4.789999999999999813e-02,-3.282999999999999807e-01,-2.288999999999999924e-01,-3.205999999999999961e-01,1.399000000000000021e+00,1.813199999999999923e+00,9.360000000000000264e-02,2.029999999999999860e-02,3.294000000000000261e-01
3.099999999999999978e-01,2.293000000000000038e-01,-2.737999999999999878e-01,-1.406300000000000106e+00,1.838500000000000023e+00,-9.130000000000000615e-02,-3.950000000000000039e-02,-3.282999999999999807e-01,-2.281999999999999862e-01,-3.244000000000000217e-01,1.397799999999999931e+00,1.810899999999999954e+00,9.279999999999999361e-02,2.649999999999999925e-02,3.294000000000000261e-01
